2019-04-30 09:19:20.506 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.spring.xnpool.bmpos.tasks.bmpostasks.mapper.ConnTestCase], using SpringBootContextLoader
2019-04-30 09:20:20.874 [Thread-2] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'messageBrokerTaskScheduler'
2019-04-30 09:20:20.875 [Thread-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2019-04-30 09:20:20.877 [Thread-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2019-04-30 09:20:20.877 [Thread-2] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'clientOutboundChannelExecutor'
2019-04-30 09:20:20.878 [Thread-2] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'clientInboundChannelExecutor'
2019-04-30 09:21:18.380 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.spring.xnpool.bmpos.tasks.bmpostasks.mapper.SaleTestCase], using SpringBootContextLoader
2019-04-30 09:21:18.392 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.spring.xnpool.bmpos.tasks.bmpostasks.mapper.SaleTestCase]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-04-30 09:21:18.393 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.spring.xnpool.bmpos.tasks.bmpostasks.mapper.SaleTestCase]: SaleTestCase does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-04-30 09:21:18.614 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.spring.xnpool.bmpos.tasks.bmpostasks.BmposTasksApplication for test class com.spring.xnpool.bmpos.tasks.bmpostasks.mapper.SaleTestCase
2019-04-30 09:21:18.772 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-04-30 09:21:18.800 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@71945bc0, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@22a0d4ea, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@49ede9c7, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6ecdbab8, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3dd4a6fa, org.springframework.test.context.transaction.TransactionalTestExecutionListener@19f7222e, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@3f725306, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3c69362a, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2412a42b, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@45404d5, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@29138d3a, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5cbe2654]
2019-04-30 09:21:19.430 [main] INFO  c.s.x.bmpos.tasks.bmpostasks.mapper.SaleTestCase - Starting SaleTestCase on DDL93R993LR5GG2 with PID 4236 (started by Administrator in F:\git-works\bmpos-tasks)
2019-04-30 09:21:19.431 [main] INFO  c.s.x.bmpos.tasks.bmpostasks.mapper.SaleTestCase - No active profile set, falling back to default profiles: default
2019-04-30 09:21:20.786 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-04-30 09:21:20.792 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-04-30 09:21:20.959 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 135ms. Found 0 repository interfaces.
2019-04-30 09:21:21.912 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [com.spring.xnpool.bmpos.tasks.bmpostasks.config.RedisConfig$$EnhancerBySpringCGLIB$$6410945d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-30 09:21:21.921 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$f96d6d2b] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-30 09:21:22.382 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'clientInboundChannelExecutor'
2019-04-30 09:21:22.397 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'clientOutboundChannelExecutor'
2019-04-30 09:21:23.223 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'messageBrokerTaskScheduler'
